(10, 170)
(490, 570)
(250, 290)
(650, 370)
(370, 250)
(850, 610)
(170, 570)
(810, 50)
(690, 170)
(890, 410)
(570, 570)
(130, 170)
(170, 410)
(250, 690)
(90, 210)
(730, 370)
(890, 570)
(850, 290)
(730, 490)
(290, 50)
(810, 410)
(90, 130)
(170, 250)
(970, 410)
(1010, 570)
(10, 610)
(650, 10)
(690, 130)
(930, 410)
(410, 290)
(210, 210)
(370, 10)
(450, 490)
(690, 570)
(970, 450)
(770, 730)
(690, 290)
(530, 370)
(250, 490)
(730, 450)
(570, 10)
(290, 650)
(130, 410)
(330, 650)
(810, 330)
(1010, 490)
(770, 170)
(490, 610)
(130, 130)
(330, 610)
(690, 330)
(530, 730)
(530, 130)
(650, 250)
(970, 370)
(770, 450)
(770, 10)
(610, 570)
(770, 570)
(50, 130)
(850, 130)
(130, 370)
(610, 330)
(530, 410)
(130, 570)
(930, 290)
(50, 10)
(370, 330)
(530, 690)
(50, 290)
(930, 690)
(930, 130)
(330, 50)
(770, 290)
(90, 290)
(250, 370)
(490, 650)
(410, 730)
(170, 50)
(610, 130)
(730, 10)
(410, 530)
(50, 330)
(410, 410)
(50, 50)
(50, 570)
(10, 730)
(410, 130)
(970, 10)
(170, 170)
(890, 90)
(370, 410)
(90, 330)
(610, 210)
(530, 170)
(130, 250)
(410, 370)
(210, 130)
(10, 410)
(210, 730)
(90, 170)
(90, 570)
(490, 690)
(570, 690)
(250, 410)
(730, 730)
(1010, 650)
(1010, 90)
(690, 50)
(970, 610)
(970, 650)
(290, 210)
(210, 410)
(10, 250)
(530, 330)
(770, 610)
(130, 650)
(10, 90)
(610, 170)
(530, 650)
(490, 490)
(450, 50)
(90, 610)
(730, 90)
(530, 10)
(290, 90)
(330, 450)
(930, 370)
(250, 10)
(890, 450)
(810, 250)
(450, 650)
(210, 690)
(730, 290)
(970, 530)
(650, 290)
(810, 530)
(490, 330)
(570, 130)
(490, 90)
(930, 530)
(810, 450)
(810, 730)
(370, 290)
(570, 290)
(450, 530)
(690, 250)
(890, 50)
(850, 650)
(10, 650)
(330, 330)
(490, 450)
(490, 50)
(170, 90)
(170, 610)
(810, 130)
(730, 50)
(650, 170)
(730, 530)
(650, 490)
(850, 50)
(850, 90)
(610, 90)
(50, 530)
(810, 370)
(210, 650)
(930, 650)
(930, 50)
(610, 650)
(610, 610)
(10, 570)
(450, 730)
(90, 370)
(690, 610)
(130, 450)
