164, 70, 64, 249
64, 249, 388, 390
388, 390, 338, 180
338, 180, 244, 189
244, 189, 192, 229
192, 229, 164, 70
559, 132, 462, 305
462, 305, 643, 357
643, 357, 798, 210
798, 210, 739, 135
739, 135, 559, 132
919, 358, 650, 518
650, 518, 745, 603
745, 603, 893, 612
893, 612, 919, 358
453, 485, 196, 471
196, 471, 45, 586
45, 586, 1, 708
1, 708, 100, 750
100, 750, 245, 660
245, 660, 299, 578
299, 578, 392, 572
392, 572, 453, 485
931, 223, 899, 243
899, 243, 939, 303
939, 303, 988, 262
988, 262, 991, 131
991, 131, 914, 87
914, 87, 841, 109
841, 109, 864, 193
864, 193, 913, 169
913, 169, 931, 223
556, 566, 431, 687
431, 687, 602, 721
602, 721, 556, 566
703, 324, 664, 370
664, 370, 719, 409
719, 409, 736, 364
736, 364, 705, 325
705, 325, 809, 287
