1021, 612, 782, 661
656, 577, 664, 762
653, 579, 901, 504
1019, 353, 506, 533
506, 533, 527, 689
423, 765, 412, 426
412, 426, 715, 317
909, 390, 871, 110
871, 110, 493, 287
831, 243, 757, 305
757, 305, 795, 331
795, 331, 831, 243
506, 285, 379, 179
379, 179, 306, 406
306, 406, 334, 528
334, 528, 266, 639
266, 639, 143, 584
288, 693, 389, 641
389, 641, 391, 690
391, 690, 342, 713
342, 713, 288, 693
149, 702, 18, 626
18, 626, 74, 468
74, 468, 242, 527
242, 527, 243, 376
23, 627, 6, 626
246, 377, 86, 280
86, 280, 96, 190
96, 190, 229, 226
229, 226, 306, 126
306, 126, 451, 104
451, 104, 503, 163
503, 163, 666, 120
